ticker,entry_date,entry_price,sl_price,tp_price,exit_date,exit_price,target_pct,sl_pct,outcome,pnl_pct
SVPGLOB,2025-08-05,3.42,3.35,4.24,2025-08-08,3.35,23.8,2.3,LOSS,-2.3
SVPGLOB,2026-02-18,3.17,3.06,3.65,2026-02-23,3.06,15.05,3.57,LOSS,-3.57
MKPL,2023-01-18,2041.33,2017.1,2439.0,2023-01-25,2017.1,19.48,1.19,LOSS,-1.19
MKPL,2024-02-06,49.01,48.36,55.7,2024-02-07,48.36,13.64,1.33,LOSS,-1.33
MKPL,2024-11-13,8.41,8.32,9.49,2024-11-14,8.32,12.91,1.06,LOSS,-1.06
MKPL,2025-09-29,6.86,6.77,7.57,2025-09-30,6.77,10.35,1.29,LOSS,-1.29
SHILPAMED,2021-06-18,510.84,492.0,594.4,2021-07-12,594.4,16.36,3.69,WIN,16.36
SHILPAMED,2021-08-09,551.22,535.3,668.9,2021-08-20,535.3,21.35,2.89,LOSS,-2.89
SHILPAMED,2021-10-22,579.77,554.0,658.0,2021-11-22,554.0,13.49,4.45,LOSS,-4.45
SHILPAMED,2022-05-06,408.25,395.0,503.0,2022-05-12,395.0,23.21,3.25,LOSS,-3.25
SHILPAMED,2022-12-22,277.38,272.0,309.95,2022-12-23,272.0,11.74,1.94,LOSS,-1.94
SHILPAMED,2023-03-14,247.5,241.56,308.0,2023-03-16,241.56,24.44,2.4,LOSS,-2.4
SHILPAMED,2025-11-14,375.86,361.0,415.0,2025-11-19,361.0,10.41,3.95,LOSS,-3.95
TEJASNET,2021-04-13,167.14,159.05,191.7,2021-04-19,159.05,14.7,4.84,LOSS,-4.84
TEJASNET,2021-10-26,409.52,403.13,570.5,2021-12-20,403.13,39.31,1.56,LOSS,-1.56
TEJASNET,2022-05-11,402.19,390.06,570.9,2022-05-12,390.06,41.95,3.02,LOSS,-3.02
TEJASNET,2022-06-17,423.9,417.98,479.0,2022-06-20,417.98,13.0,1.4,LOSS,-1.4
TEJASNET,2022-11-09,618.25,588.1,724.5,2022-12-22,588.1,17.19,4.88,LOSS,-4.88
TEJASNET,2023-02-24,557.21,535.0,643.55,2023-04-12,643.55,15.49,3.99,WIN,15.49
TEJASNET,2024-11-12,1303.53,1275.81,1459.9,2024-11-13,1275.81,12.0,2.13,LOSS,-2.13
TEJASNET,2025-05-07,684.3,670.23,844.45,2025-05-09,670.23,23.4,2.06,LOSS,-2.06
